date,pseudo_event,baseline_zscore,balanced_selected,conservative_selected,balanced_missed_day,conservative_missed_day
2019-04-14,5,8,5,1,False,False
2019-04-15,9,26,19,5,False,False
2019-04-16,8,19,13,9,False,False
2019-04-17,6,12,7,4,False,False
2019-04-18,8,19,12,6,False,False
2019-04-19,10,10,8,3,False,False
2019-04-20,10,18,12,6,False,False
2019-04-21,6,15,7,4,False,False
2019-04-22,4,13,8,5,False,False
2019-04-23,11,12,6,6,False,False
2019-04-24,5,11,8,4,False,False
2019-04-25,11,11,10,4,False,False
2019-04-26,4,9,4,2,False,False
2019-04-27,6,6,3,2,False,False
2019-04-28,8,9,3,2,False,False
2019-04-29,11,10,6,5,False,False
2019-04-30,5,20,11,6,False,False
2019-05-01,7,11,5,2,False,False
2019-05-02,11,9,4,3,False,False
2019-05-03,7,16,10,6,False,False
2019-05-04,14,12,9,4,False,False
2019-05-05,9,8,5,2,False,False
2019-05-06,11,20,10,7,False,False
2019-05-07,8,19,14,6,False,False
2019-05-08,6,20,12,7,False,False
2019-05-09,7,18,5,2,False,False
2019-05-10,11,17,15,8,False,False
2019-05-11,17,26,20,9,False,False
2019-05-12,7,13,8,6,False,False
2019-05-13,8,21,12,7,False,False
2019-05-14,7,18,9,4,False,False
2019-05-15,6,16,10,4,False,False
2019-05-16,16,6,2,2,False,False
2019-05-17,14,8,4,2,False,False
2019-05-18,2,7,3,2,False,False
2019-05-19,6,24,14,7,False,False
2019-05-20,4,15,5,3,False,False
2019-05-21,7,15,7,5,False,False
2019-05-22,7,17,9,3,False,False
2019-05-23,5,10,5,3,False,False
2019-05-24,8,6,1,0,False,True
2019-05-25,7,12,6,4,False,False
2019-05-26,11,14,8,4,False,False
2019-05-27,10,17,13,4,False,False
2019-05-28,11,16,12,6,False,False
2019-05-29,13,18,8,3,False,False
2019-05-30,12,19,13,7,False,False
2019-05-31,7,12,9,6,False,False
2019-06-01,10,22,9,3,False,False
2019-06-02,6,16,14,7,False,False
2019-06-03,7,17,8,6,False,False
2019-06-04,2,13,9,4,False,False
2019-06-05,7,22,15,8,False,False
2019-06-06,4,19,11,7,False,False
2019-06-07,7,13,7,5,False,False
2019-06-08,6,18,9,4,False,False
2019-06-09,7,16,13,7,False,False
2019-06-10,9,19,10,5,False,False
2019-06-11,10,14,8,5,False,False
2019-06-12,9,22,18,9,False,False
2019-06-13,6,18,15,6,False,False
2019-06-14,5,18,11,5,False,False
2019-06-15,5,16,10,5,False,False
2019-06-16,7,24,14,6,False,False
2019-06-17,5,22,12,6,False,False
2019-06-18,10,22,9,4,False,False
2019-06-19,8,9,4,2,False,False
2019-06-20,8,18,10,4,False,False
2019-06-21,11,27,15,7,False,False
2019-06-22,10,16,7,5,False,False
2019-06-23,5,15,12,7,False,False
2019-06-24,6,23,14,10,False,False
2019-06-25,4,13,4,3,False,False
2019-06-26,30,22,11,5,False,False
2019-06-27,9,13,5,3,False,False
2019-06-28,2,10,7,3,False,False
2019-06-29,7,18,10,5,False,False
2019-06-30,7,17,9,4,False,False
2019-07-01,3,11,4,3,False,False
2019-07-02,4,9,5,4,False,False
2019-07-03,5,10,5,2,False,False
2019-07-04,10,13,7,4,False,False
2019-07-05,9,11,9,4,False,False
2019-07-06,14,12,7,5,False,False
2019-07-07,10,15,9,5,False,False
2019-07-08,10,16,12,9,False,False
2019-07-09,9,20,17,8,False,False
2019-07-10,14,21,8,5,False,False
2019-07-11,6,15,11,5,False,False
2019-07-12,10,12,7,3,False,False
2019-07-13,5,11,7,3,False,False
2019-07-14,13,14,8,3,False,False
2019-07-15,13,18,12,6,False,False
2019-07-16,14,16,11,8,False,False
2019-07-17,4,12,7,3,False,False
2019-07-18,7,22,11,6,False,False
2019-07-19,9,16,8,3,False,False
2019-07-20,10,21,18,8,False,False
2019-07-21,10,19,12,9,False,False
2019-07-22,8,15,11,7,False,False
2019-07-23,7,7,6,4,False,False
2019-07-24,2,13,8,4,False,False
2019-07-25,9,18,12,7,False,False
2019-07-26,8,12,8,5,False,False
2019-07-27,13,11,8,7,False,False
2019-07-28,13,12,11,7,False,False
2019-07-29,7,13,9,7,False,False
2019-07-30,12,12,8,6,False,False
2019-07-31,5,15,12,5,False,False
2019-08-01,7,15,10,4,False,False
2019-08-02,8,19,11,7,False,False
2019-08-03,13,18,12,10,False,False
2019-08-04,10,12,6,2,False,False
2019-08-05,9,14,8,4,False,False
2019-08-06,5,15,9,3,False,False
2019-08-07,9,13,8,4,False,False
